borough_name,month
Camden,2024-08-01
Camden,2024-09-01
Camden,2024-10-01
Camden,2024-11-01
Camden,2024-12-01
Camden,2025-01-01
Camden,2025-02-01
Camden,2025-03-01
Camden,2025-04-01
Camden,2025-05-01
Camden,2025-06-01
Camden,2025-07-01
Camden,2025-08-01
Camden,2025-09-01
Camden,2025-10-01
Camden,2025-11-01
Camden,2025-12-01
Camden,2026-01-01
Camden,2026-02-01
Camden,2026-03-01
Camden,2026-04-01
Camden,2026-05-01
Camden,2026-06-01
Camden,2026-07-01
