borough_name,intercept,time_index,month_sin,month_cos,connect
Barking and Dagenham,1532.3464475509566,5.400569134462531,-43.383768364029095,-60.50845071246927,-141.47582521914154
Barnet,2218.8701969934086,3.7538878159948834,-37.80038481246474,-38.89655651403073,-19.36522211063165
Bexley,1248.42534837398,2.870351812288158,-35.02654165417835,-33.90357690359954,-39.66359707362362
Brent,2275.675295928819,8.678907315836781,-101.75470834421989,-143.8615694951176,-18.238220901854596
Bromley,1823.8151351259355,3.4741936910847704,-58.433552873438785,-50.83032951563383,9.112799879998667
Camden,2317.1460522849356,23.441653268350425,-137.187782374064,-96.56068395974924,-184.9441902903118
Croydon,2654.753451925575,4.3241106563448914,-113.49706565539798,-109.4842823690936,30.39050426693281
Ealing,2295.29499490399,8.017760806118305,-94.16388840735868,-89.55149962551876,-49.67711219054075
Enfield,2409.4745559894054,1.1759349716633585,-59.18421174625131,-36.11157018465461,5.177316592803091
Greenwich,2063.4321498600398,6.543433824898572,-68.94182733806572,-125.9108885628539,-89.83212573667717
Hackney,2574.2426002578927,1.937105375279346,-177.1038241602468,-112.34916205731521,92.87211869716238
Hammersmith and Fulham,1570.6815135741817,5.510077653936119,-80.9766611370662,-85.08830100860723,-93.75267106213084
Haringey,2366.7720412046933,1.467186042382091,-111.21507533586468,-120.5417077667847,-57.64532727815686
Harrow,1224.0954797510794,1.8867886398691407,-58.38162611372762,-10.46313023963517,79.05150670402601
Havering,1390.1163789980042,9.098847894787722,-50.27450057544499,-84.49045432836371,-249.7598105839214
Hillingdon,2089.748668814838,0.2710698235974526,-87.38732735577759,-31.879382069098146,487.766944007469
Hounslow,1880.4917367134135,9.131177536011833,-107.65371444840858,-107.20207703931034,-151.16189053144967
Islington,1997.2960498660618,10.671146635079607,-102.75533664619351,-122.06479655266118,21.008055530347406
Kensington and Chelsea,1505.3662563477567,9.28296077193135,-162.8906269741202,-67.20830237907543,-169.43511000327595
Kingston upon Thames,880.6808662542155,3.5029073579906047,-40.940549378193566,-37.37524735022579,-100.91219232163806
Lambeth,2525.576499779152,11.276695669669502,-167.70125050807155,-213.97574329277356,71.28475462847692
Lewisham,2210.016921353081,5.858774540699101,-77.86496218557515,-135.3626697056351,-10.422278049956843
Merton,1103.7722770493542,1.5036638408908323,-56.15530741955339,-53.77501840065505,-49.24030085760268
Newham,2638.8243747283477,12.255818225503921,-112.06861688041603,-14.41031091026191,134.16460810934274
Redbridge,1948.8086115800834,2.568398884307642,-44.42332482679044,-72.37805252718066,-42.65681317435595
Richmond upon Thames,968.8799185614486,-0.009824920003692403,-39.54870072907603,-57.16601830435211,27.370977900177255
Southwark,2549.0872399899768,14.145559434878212,-165.57722891711973,-160.01072863721387,48.678234661137296
Sutton,1036.6276311591853,2.449298388372048,-38.592317374624145,-41.063348647269905,-65.74469393587249
Tower Hamlets,2544.947698518315,10.723833557557064,-154.96920482386196,-127.9525714133978,-30.425960911536485
Waltham Forest,1894.9532873390174,-0.6589113704249706,-60.34439879846731,-62.37481438903409,179.7427853240336
Wandsworth,2039.6426581049288,3.687650804761686,-113.73249981443836,-110.70701867169292,-20.23816691468059
Westminster,3950.013558031805,85.04545793225148,-364.28679636098036,363.11312705484426,-1741.7988501077498
